application_id,client_id,submission_date,instrument_type,mid_module,risk_class
APP00240,CLI0033,2024-01-02,Electricity Meter,B,Medium
APP00197,CLI0049,2024-01-13,Water Meter,B,Medium
APP00270,CLI0029,2024-01-16,Electricity Meter,B,Low
APP00228,CLI0037,2024-01-22,Dispenser,B,Medium
APP00156,CLI0020,2024-01-27,Water Meter,B,High
APP00138,CLI0035,2024-01-28,Water Meter,D,Medium
APP00135,CLI0015,2024-01-30,Electricity Meter,D,Medium
APP00173,CLI0040,2024-01-30,Electricity Meter,B,Medium
APP00280,CLI0029,2024-01-30,Electricity Meter,B,Low
APP00276,CLI0035,2024-02-06,Electricity Meter,D,Medium
APP00082,CLI0012,2024-02-09,Electricity Meter,B,Medium
APP00066,CLI0020,2024-02-10,Water Meter,B,Medium
APP00149,CLI0050,2024-02-11,Water Meter,B,Low
APP00065,CLI0036,2024-02-12,Gas Meter,D,High
APP00058,CLI0028,2024-02-15,Electricity Meter,B,Medium
APP00297,CLI0044,2024-02-20,Gas Meter,B,Low
APP00034,CLI0048,2024-02-21,Water Meter,D,Low
APP00111,CLI0015,2024-02-21,Electricity Meter,B,Low
APP00244,CLI0041,2024-02-22,Water Meter,B,Medium
APP00056,CLI0033,2024-02-22,Water Meter,D,Medium
APP00147,CLI0002,2024-02-23,Electricity Meter,B,High
APP00195,CLI0018,2024-02-25,Dispenser,B,Medium
APP00019,CLI0030,2024-02-25,Electricity Meter,B,Low
APP00032,CLI0013,2024-02-29,Dispenser,B,Medium
APP00033,CLI0038,2024-03-03,Gas Meter,B,Medium
APP00009,CLI0029,2024-03-06,Gas Meter,D,Medium
APP00148,CLI0023,2024-03-11,Water Meter,D,High
APP00078,CLI0022,2024-03-12,Taximeter,B,Medium
APP00256,CLI0048,2024-03-12,Gas Meter,D,Low
APP00089,CLI0013,2024-03-12,Dispenser,B,Medium
APP00011,CLI0015,2024-03-13,Gas Meter,B,High
APP00107,CLI0040,2024-03-15,Electricity Meter,B,Medium
APP00043,CLI0042,2024-03-15,Electricity Meter,D,High
APP00288,CLI0019,2024-03-16,Gas Meter,B,Medium
APP00024,CLI0016,2024-03-18,Electricity Meter,D,Low
APP00001,CLI0016,2024-03-21,Gas Meter,B,Medium
APP00233,CLI0041,2024-04-03,Electricity Meter,B,Low
APP00026,CLI0007,2024-04-05,Gas Meter,D,Medium
APP00017,CLI0027,2024-04-09,Taximeter,B,High
APP00278,CLI0048,2024-04-10,Water Meter,B,Medium
APP00269,CLI0003,2024-04-12,Electricity Meter,D,High
APP00279,CLI0049,2024-04-12,Water Meter,B,Medium
APP00045,CLI0040,2024-04-12,Gas Meter,B,High
APP00052,CLI0017,2024-04-19,Taximeter,B,High
APP00021,CLI0007,2024-04-21,Electricity Meter,B,Low
APP00062,CLI0028,2024-04-24,Taximeter,D,High
APP00250,CLI0027,2024-04-26,Taximeter,B,Medium
APP00187,CLI0008,2024-05-02,Electricity Meter,D,High
APP00246,CLI0019,2024-05-04,Electricity Meter,B,Low
APP00091,CLI0021,2024-05-07,Water Meter,D,Low
APP00194,CLI0035,2024-05-09,Electricity Meter,B,Medium
APP00245,CLI0014,2024-05-14,Water Meter,D,Medium
APP00051,CLI0007,2024-05-17,Gas Meter,B,Medium
APP00124,CLI0006,2024-05-21,Gas Meter,B,Medium
APP00022,CLI0016,2024-05-23,Electricity Meter,B,High
APP00219,CLI0042,2024-05-25,Electricity Meter,B,Low
APP00282,CLI0023,2024-05-29,Water Meter,B,High
APP00109,CLI0025,2024-05-31,Gas Meter,B,Medium
APP00201,CLI0032,2024-06-04,Gas Meter,D,Low
APP00031,CLI0030,2024-06-07,Electricity Meter,B,Medium
APP00211,CLI0006,2024-06-09,Gas Meter,B,Low
APP00212,CLI0016,2024-06-09,Gas Meter,B,Low
APP00060,CLI0050,2024-06-14,Electricity Meter,B,Medium
APP00155,CLI0011,2024-06-16,Gas Meter,B,Medium
APP00029,CLI0026,2024-06-17,Gas Meter,B,Low
APP00136,CLI0025,2024-06-18,Electricity Meter,B,Medium
APP00027,CLI0049,2024-06-19,Electricity Meter,B,Medium
APP00283,CLI0016,2024-06-23,Gas Meter,B,Low
APP00230,CLI0037,2024-06-28,Dispenser,B,Medium
APP00166,CLI0030,2024-06-29,Electricity Meter,D,Low
APP00070,CLI0011,2024-06-30,Electricity Meter,B,Medium
APP00174,CLI0032,2024-07-05,Gas Meter,D,Medium
APP00141,CLI0009,2024-07-05,Electricity Meter,D,Medium
APP00036,CLI0011,2024-07-09,Gas Meter,D,High
APP00264,CLI0025,2024-07-12,Electricity Meter,B,Medium
APP00191,CLI0039,2024-07-17,Gas Meter,B,Low
APP00217,CLI0041,2024-07-21,Water Meter,B,Low
APP00158,CLI0026,2024-07-22,Dispenser,B,High
APP00105,CLI0044,2024-07-22,Water Meter,B,Medium
APP00054,CLI0019,2024-07-27,Electricity Meter,B,Medium
APP00209,CLI0048,2024-07-31,Water Meter,B,Medium
APP00005,CLI0011,2024-08-04,Electricity Meter,B,High
APP00028,CLI0027,2024-08-06,Taximeter,B,High
APP00299,CLI0039,2024-08-12,Electricity Meter,B,High
APP00181,CLI0002,2024-08-14,Water Meter,D,Low
APP00218,CLI0028,2024-08-18,Taximeter,B,Low
APP00277,CLI0040,2024-08-20,Electricity Meter,D,Medium
APP00076,CLI0020,2024-08-21,Dispenser,D,Medium
APP00012,CLI0046,2024-08-22,Dispenser,D,Low
APP00298,CLI0039,2024-08-23,Electricity Meter,D,Medium
APP00186,CLI0018,2024-08-24,Dispenser,B,High
APP00122,CLI0005,2024-08-28,Water Meter,B,High
APP00104,CLI0022,2024-08-28,Taximeter,D,Medium
APP00069,CLI0048,2024-08-30,Water Meter,D,Medium
APP00170,CLI0018,2024-09-08,Dispenser,B,Medium
APP00150,CLI0049,2024-09-10,Water Meter,D,Medium
APP00203,CLI0006,2024-09-11,Electricity Meter,B,Medium
APP00072,CLI0027,2024-09-11,Electricity Meter,D,Medium
APP00067,CLI0023,2024-09-12,Water Meter,D,Medium
APP00300,CLI0041,2024-09-13,Water Meter,B,Medium
APP00226,CLI0048,2024-09-13,Water Meter,B,High
APP00199,CLI0029,2024-09-15,Gas Meter,B,Low
APP00238,CLI0003,2024-09-15,Electricity Meter,D,Medium
APP00085,CLI0008,2024-09-17,Gas Meter,B,Low
APP00040,CLI0043,2024-09-24,Electricity Meter,B,High
APP00081,CLI0002,2024-09-24,Water Meter,B,Low
APP00216,CLI0030,2024-09-27,Gas Meter,B,Medium
APP00055,CLI0044,2024-09-27,Water Meter,B,Low
APP00030,CLI0025,2024-09-28,Electricity Meter,B,Medium
APP00229,CLI0049,2024-10-02,Water Meter,B,Medium
APP00053,CLI0048,2024-10-05,Water Meter,B,Medium
APP00189,CLI0012,2024-10-10,Electricity Meter,D,High
APP00144,CLI0049,2024-10-11,Gas Meter,B,Medium
APP00231,CLI0031,2024-10-11,Electricity Meter,D,Low
APP00171,CLI0006,2024-10-12,Electricity Meter,B,Low
APP00014,CLI0005,2024-10-12,Dispenser,B,Medium
APP00259,CLI0018,2024-10-16,Gas Meter,B,Low
APP00102,CLI0006,2024-10-17,Gas Meter,B,Low
APP00236,CLI0027,2024-10-22,Electricity Meter,B,Medium
APP00214,CLI0029,2024-10-25,Electricity Meter,B,Low
APP00281,CLI0003,2024-10-27,Gas Meter,D,Medium
APP00294,CLI0019,2024-10-29,Water Meter,B,Low
APP00206,CLI0025,2024-10-31,Electricity Meter,B,Medium
APP00131,CLI0025,2024-11-01,Electricity Meter,B,High
APP00291,CLI0045,2024-11-05,Water Meter,D,Medium
APP00192,CLI0019,2024-11-05,Gas Meter,D,Medium
APP00202,CLI0010,2024-11-07,Gas Meter,B,Medium
APP00098,CLI0001,2024-11-07,Gas Meter,D,Medium
APP00207,CLI0038,2024-11-08,Dispenser,D,Low
APP00182,CLI0026,2024-11-09,Dispenser,B,Medium
APP00220,CLI0005,2024-11-10,Dispenser,B,Low
APP00083,CLI0007,2024-11-17,Electricity Meter,B,Medium
APP00041,CLI0014,2024-11-17,Water Meter,D,Medium
APP00234,CLI0031,2024-11-24,Electricity Meter,B,Medium
APP00093,CLI0020,2024-11-30,Water Meter,D,High
APP00142,CLI0004,2024-12-01,Taximeter,B,Low
APP00273,CLI0040,2024-12-02,Gas Meter,D,Low
APP00235,CLI0043,2024-12-03,Gas Meter,B,Low
APP00013,CLI0005,2024-12-04,Electricity Meter,B,Low
APP00080,CLI0035,2024-12-05,Gas Meter,B,Low
APP00071,CLI0027,2024-12-06,Taximeter,D,Low
APP00059,CLI0001,2024-12-07,Gas Meter,D,Low
APP00143,CLI0014,2024-12-11,Water Meter,D,Medium
