audit_id,application_id,audit_date,audit_status,failure_reason
AUD00001,APP00240,2024-01-23,FAIL,Test report gaps
AUD00002,APP00240,2024-02-13,FAIL,Durability evidence insufficient
AUD00003,APP00240,2024-03-05,PASS,
AUD00004,APP00197,2024-02-08,FAIL,Software documentation missing
AUD00005,APP00197,2024-03-05,FAIL,Documentation inconsistencies
AUD00006,APP00197,2024-03-31,PASS,
AUD00007,APP00270,2024-02-13,FAIL,Technical file incomplete
AUD00008,APP00270,2024-03-12,PASS,
AUD00009,APP00228,2024-02-09,FAIL,Documentation inconsistencies
AUD00010,APP00228,2024-02-27,FAIL,Test report gaps
AUD00011,APP00228,2024-03-16,FAIL,Metrological requirements unclear
AUD00012,APP00228,2024-04-03,PASS,
AUD00013,APP00156,2024-03-06,PASS,
AUD00014,APP00138,2024-02-26,PASS,
AUD00015,APP00135,2024-03-03,PASS,
AUD00016,APP00173,2024-03-09,PASS,
AUD00017,APP00280,2024-02-17,FAIL,Documentation inconsistencies
AUD00018,APP00280,2024-03-06,FAIL,Technical file incomplete
AUD00019,APP00280,2024-03-24,FAIL,Durability evidence insufficient
AUD00020,APP00280,2024-04-11,FAIL,EMC test results missing
AUD00021,APP00280,2024-04-29,PASS,
AUD00022,APP00276,2024-03-05,PASS,
AUD00023,APP00082,2024-03-02,FAIL,Test report gaps
AUD00024,APP00082,2024-03-24,FAIL,Technical file incomplete
AUD00025,APP00082,2024-04-15,PASS,
AUD00026,APP00066,2024-03-05,FAIL,Documentation inconsistencies
AUD00027,APP00066,2024-03-29,FAIL,Technical file incomplete
AUD00028,APP00066,2024-04-22,PASS,
AUD00029,APP00149,2024-02-29,FAIL,Marking/labelling non-compliant
AUD00030,APP00149,2024-03-18,FAIL,Technical file incomplete
AUD00031,APP00149,2024-04-05,FAIL,Test report gaps
AUD00032,APP00149,2024-04-23,FAIL,Documentation inconsistencies
AUD00033,APP00149,2024-05-11,PASS,
AUD00034,APP00065,2024-03-01,FAIL,Calibration records outdated
AUD00035,APP00065,2024-03-19,FAIL,Non-conformance handling unclear
AUD00036,APP00065,2024-04-06,PASS,
AUD00037,APP00058,2024-03-16,FAIL,Durability evidence insufficient
AUD00038,APP00058,2024-04-15,PASS,
AUD00039,APP00297,2024-03-12,FAIL,Technical file incomplete
AUD00040,APP00297,2024-04-02,FAIL,Technical file incomplete
AUD00041,APP00297,2024-04-23,PASS,
AUD00042,APP00034,2024-03-09,FAIL,Training records missing
AUD00043,APP00034,2024-03-26,FAIL,Management review incomplete
AUD00044,APP00034,2024-04-12,PASS,
AUD00045,APP00111,2024-03-21,FAIL,Durability evidence insufficient
AUD00046,APP00111,2024-04-19,PASS,
AUD00047,APP00244,2024-03-18,FAIL,Test report gaps
